sample	path	group
M019516	example-configs/arg-nz-ca-trout/files/M019516.bam	ArgSCR
M019519	example-configs/arg-nz-ca-trout/files/M019519.bam	ArgSCR
M019528	example-configs/arg-nz-ca-trout/files/M019528.bam	ArgSCR
M019530	example-configs/arg-nz-ca-trout/files/M019530.bam	ArgSCR
M019533	example-configs/arg-nz-ca-trout/files/M019533.bam	ArgSCR
M019535	example-configs/arg-nz-ca-trout/files/M019535.bam	ArgNRDV
M019536	example-configs/arg-nz-ca-trout/files/M019536.bam	ArgNRDV
M019537	example-configs/arg-nz-ca-trout/files/M019537.bam	ArgNRDV
M019538	example-configs/arg-nz-ca-trout/files/M019538.bam	ArgNRDV
M019597	example-configs/arg-nz-ca-trout/files/M019597.bam	ArgSCR
M019605	example-configs/arg-nz-ca-trout/files/M019605.bam	ArgSCR
M019609	example-configs/arg-nz-ca-trout/files/M019609.bam	ArgSCR
M019618	example-configs/arg-nz-ca-trout/files/M019618.bam	ArgSCR
M019644	example-configs/arg-nz-ca-trout/files/M019644.bam	ArgSCR
M019651	example-configs/arg-nz-ca-trout/files/M019651.bam	ArgSCR
M019657	example-configs/arg-nz-ca-trout/files/M019657.bam	ArgSCR
M019695	example-configs/arg-nz-ca-trout/files/M019695.bam	ArgSCR
M019700	example-configs/arg-nz-ca-trout/files/M019700.bam	ArgSCR
M019704	example-configs/arg-nz-ca-trout/files/M019704.bam	ArgSCR
M019802	example-configs/arg-nz-ca-trout/files/M019802.bam	ArgSCR
M019825	example-configs/arg-nz-ca-trout/files/M019825.bam	ArgSCR
M019594	example-configs/arg-nz-ca-trout/files/M019594.bam	ArgSCR
M133815	example-configs/arg-nz-ca-trout/files/M133815.bam	NZ
M133816	example-configs/arg-nz-ca-trout/files/M133816.bam	NZ
M133817	example-configs/arg-nz-ca-trout/files/M133817.bam	NZ
M133820	example-configs/arg-nz-ca-trout/files/M133820.bam	NZ
M133822	example-configs/arg-nz-ca-trout/files/M133822.bam	NZ
M133823	example-configs/arg-nz-ca-trout/files/M133823.bam	NZ
M133825	example-configs/arg-nz-ca-trout/files/M133825.bam	NZ
M133826	example-configs/arg-nz-ca-trout/files/M133826.bam	NZ
M133827	example-configs/arg-nz-ca-trout/files/M133827.bam	NZ
M133828	example-configs/arg-nz-ca-trout/files/M133828.bam	NZ
M133829	example-configs/arg-nz-ca-trout/files/M133829.bam	NZ
M133830	example-configs/arg-nz-ca-trout/files/M133830.bam	NZ
M133831	example-configs/arg-nz-ca-trout/files/M133831.bam	NZ
M133813	example-configs/arg-nz-ca-trout/files/M133813.bam	NZ
M133814	example-configs/arg-nz-ca-trout/files/M133814.bam	NZ
M133818	example-configs/arg-nz-ca-trout/files/M133818.bam	NZ
M133819	example-configs/arg-nz-ca-trout/files/M133819.bam	NZ
M133821	example-configs/arg-nz-ca-trout/files/M133821.bam	NZ
M133824	example-configs/arg-nz-ca-trout/files/M133824.bam	NZ
M133832	example-configs/arg-nz-ca-trout/files/M133832.bam	NZ
M133833	example-configs/arg-nz-ca-trout/files/M133833.bam	NZ
M133834	example-configs/arg-nz-ca-trout/files/M133834.bam	NZ
M133835	example-configs/arg-nz-ca-trout/files/M133835.bam	NZ
